CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,InternetService,MonthlyCharges,Churn,TotalCharges
CUST1000,Male,0,No,Yes,29,No,No,118.48,Yes,3435.92
CUST1001,Female,1,No,No,16,Yes,No,103.89,Yes,1662.24
CUST1002,Male,0,Yes,No,61,No,Fiber optic,32.47,No,1980.67
CUST1003,Male,0,Yes,No,12,No,Fiber optic,112.08,Yes,1344.96
CUST1004,Male,1,No,Yes,58,No,DSL,106.99,Yes,6205.42
CUST1005,Female,0,No,Yes,18,Yes,Fiber optic,71.88,No,1293.84
CUST1006,Male,1,No,Yes,48,No,Fiber optic,79.13,Yes,3798.24
CUST1007,Male,1,No,No,11,No,No,59.9,No,658.9
CUST1008,Male,1,No,No,60,Yes,Fiber optic,25.48,No,1528.8
CUST1009,Female,0,No,No,18,No,DSL,53.52,No,963.36
CUST1010,Male,0,Yes,Yes,8,Yes,Fiber optic,100.29,Yes,802.32
CUST1011,Male,0,No,No,70,No,No,20.46,Yes,1432.2
CUST1012,Male,0,No,No,27,Yes,No,53.35,Yes,1440.45
CUST1013,Male,0,Yes,No,51,Yes,Fiber optic,59.82,No,3050.82
CUST1014,Female,0,Yes,No,15,No,No,73.74,Yes,1106.1
CUST1015,Male,0,Yes,Yes,68,Yes,DSL,111.99,No,7615.32
CUST1016,Female,1,Yes,Yes,11,Yes,DSL,54.63,No,600.93
CUST1017,Female,0,No,No,24,Yes,Fiber optic,54.7,Yes,1312.8
CUST1018,Female,1,No,Yes,51,Yes,Fiber optic,93.75,No,4781.25
CUST1019,Male,0,No,Yes,52,Yes,Fiber optic,65.22,Yes,3391.44
CUST1020,Female,0,No,No,22,Yes,No,42.46,Yes,934.12
CUST1021,Male,0,No,No,15,No,DSL,65.24,Yes,978.6
CUST1022,Female,1,No,Yes,56,Yes,DSL,34.09,Yes,1909.04
CUST1023,Female,1,Yes,No,38,Yes,No,37.64,Yes,1430.32
CUST1024,Female,1,No,Yes,52,No,DSL,69.84,No,3631.68
CUST1025,Female,1,Yes,No,41,No,Fiber optic,61.89,No,2537.49
CUST1026,Female,0,Yes,Yes,57,No,Fiber optic,111.48,No,6354.36
CUST1027,Female,1,No,No,38,No,Fiber optic,56.24,Yes,2137.12
CUST1028,Female,0,Yes,Yes,13,No,DSL,78.06,Yes,1014.78
CUST1029,Female,0,No,Yes,4,No,Fiber optic,83.23,Yes,332.92
CUST1030,Male,1,Yes,Yes,34,No,No,21.31,No,724.54
CUST1031,Male,1,No,No,17,Yes,No,86.35,Yes,1467.95
CUST1032,Female,1,Yes,Yes,8,Yes,DSL,37.8,No,302.4
CUST1033,Female,1,No,Yes,57,No,No,116.11,No,6618.27
CUST1034,Female,1,No,No,16,Yes,No,34.87,Yes,557.92
CUST1035,Male,1,No,No,6,Yes,DSL,61.46,Yes,368.76
CUST1036,Female,1,No,Yes,45,Yes,Fiber optic,28.53,No,1283.85
CUST1037,Male,1,No,Yes,12,No,Fiber optic,119.69,Yes,1436.28
CUST1038,Male,0,Yes,No,39,No,Fiber optic,70.22,No,2738.58
CUST1039,Male,1,Yes,No,41,Yes,DSL,79.54,Yes,3261.14
CUST1040,Male,1,Yes,No,8,No,No,26.71,Yes,213.68
CUST1041,Male,0,No,No,49,Yes,Fiber optic,95.0,No,4655.0
CUST1042,Female,1,Yes,No,26,Yes,Fiber optic,40.99,Yes,1065.74
CUST1043,Female,0,No,Yes,65,Yes,DSL,109.81,No,7137.65
CUST1044,Female,0,No,No,4,Yes,Fiber optic,40.51,Yes,162.04
CUST1045,Female,1,Yes,Yes,28,No,DSL,39.07,No,1093.96
